fixture_id,site_id,site_code,jurisdiction_id,jurisdiction_code,psgc_code,catalog_presence,fixture_family,provenance_source,introducing_commit,purpose,current_status,effective_from,effective_to,identity_classification,proposed_disposition,realistic_mapping_status,notes
d968c9cd-730b-600d-578d-13ab9151d0e7,2ffd107f-dae4-99c1-a502-bb34c34c8127,SAMPLE-METRO-CEBU-0722140000-01,3709560e-a4ee-308d-8018-fda4bfe88dcd,PH-PSGC-0722140000,0722140000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
18690959-7fac-80bd-c24c-44e4e3f3560f,26cf5d3c-1409-4cfc-b5fe-21dd0d327dda,SAMPLE-METRO-CEBU-0722140000-02,3709560e-a4ee-308d-8018-fda4bfe88dcd,PH-PSGC-0722140000,0722140000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
0f581f59-56d1-e514-4a15-2ff19ec91ce9,c1b6e3bd-da76-2653-86b7-d3ceabba1c1d,SAMPLE-METRO-CEBU-0722170000-01,d83c443b-2358-2768-9c75-1a74e8e08034,PH-PSGC-0722170000,0722170000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
38ad6f27-338b-644d-b494-1440143e743a,b0aae855-fbad-5569-9472-58dc09c895bb,SAMPLE-METRO-CEBU-0722170000-02,d83c443b-2358-2768-9c75-1a74e8e08034,PH-PSGC-0722170000,0722170000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
3ea5f4d9-09ba-577e-0f3c-14f733dc582e,aa3b86da-ea88-d166-19ea-93a078308ffc,SAMPLE-METRO-CEBU-0722180000-01,73ba2f18-7c19-05d8-7706-45e9657b5205,PH-PSGC-0722180000,0722180000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
a7d4f293-90d8-b3ae-12c6-0b40608ded1c,eadc4627-f2a1-8291-0f95-1099794060e6,SAMPLE-METRO-CEBU-0722180000-02,73ba2f18-7c19-05d8-7706-45e9657b5205,PH-PSGC-0722180000,0722180000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
44300b77-3e24-c517-3c2a-6b41b2960ac7,d1f42a77-ac3e-ac6a-efd1-3786064308ff,SAMPLE-METRO-CEBU-0722190000-01,ffd6a45f-d050-8c48-374a-edf2ed70ccf2,PH-PSGC-0722190000,0722190000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
1705abd1-10b2-b53b-e115-aff99453a726,06dd30e5-2c6f-38d4-5093-9c72c30e7972,SAMPLE-METRO-CEBU-0722190000-02,ffd6a45f-d050-8c48-374a-edf2ed70ccf2,PH-PSGC-0722190000,0722190000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
4f8ef1d9-4747-708c-3f3a-a9bcfeb90dec,eb512092-c687-f743-a00e-ed2bd24e4c35,SAMPLE-METRO-CEBU-0722220000-01,8bfe28ca-1587-96c8-47e4-1ea8f1217741,PH-PSGC-0722220000,0722220000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
819f22d8-0044-a199-3ee2-9550424427d0,b2df4156-e9f3-d83e-b3b4-dff05b2bc07e,SAMPLE-METRO-CEBU-0722220000-02,8bfe28ca-1587-96c8-47e4-1ea8f1217741,PH-PSGC-0722220000,0722220000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
e5af0650-8dfc-e3ce-c5b5-6837ea9493f8,1d107594-c8f3-0438-85e4-8018b6ad16e6,SAMPLE-METRO-CEBU-0722270000-01,57581cf3-bdb3-7274-fd2f-fa9d8574b8b9,PH-PSGC-0722270000,0722270000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
6d888744-148a-ef95-0cf9-10eb6b641d30,367b6555-35b7-471c-550c-92e2f601b329,SAMPLE-METRO-CEBU-0722270000-02,57581cf3-bdb3-7274-fd2f-fa9d8574b8b9,PH-PSGC-0722270000,0722270000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
7807eb20-f3ea-2de9-9f0e-460619d42a09,afc0004e-0b6a-3f59-3d5a-ef0e41e7bf46,SAMPLE-METRO-CEBU-0722310000-01,42a7b40c-333b-ac53-66bb-167df0881ede,PH-PSGC-0722310000,0722310000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
f028e687-8ee8-191e-2839-3067ca8f13f7,75da0fe3-afe2-247e-6e61-9abd0eb5154a,SAMPLE-METRO-CEBU-0722310000-02,42a7b40c-333b-ac53-66bb-167df0881ede,PH-PSGC-0722310000,0722310000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
d5b9eeb9-6ec0-9275-0eef-711f9d99d1b9,12217b68-1723-020b-b440-b0e17ffd64e9,SAMPLE-METRO-CEBU-0722340000-01,0019b93b-dcef-28bb-155b-5510efb9e81a,PH-PSGC-0722340000,0722340000,CANONICAL_CLEAN_BUILD,I006_METROPOLITAN_SAMPLE,objects/reference-data/sites.synthetic-metropolitan-site-groups-sites.seed.sql,9d861ae9,Synthetic Site-to-LGU assignment for I-006 jurisdiction-coverage proof only.,ACTIVE,2026-07-27 16:00:00+00,,SYNTHETIC_NO_REALISTIC_EQUIVALENT,KEEP_FOR_TEST_SCOPE_ONLY,NO_REALISTIC_EQUIVALENT,The assignment belongs to a synthetic ordinal Site and cannot be transferred to a realistic Site.
